time,step,train_loss
2022-11-03,0,2.94949
2022-11-03,10,2.57900
2022-11-03,20,2.16051
2022-11-03,30,2.11807
2022-11-03,40,2.12023
2022-11-03,50,2.21999
2022-11-03,60,2.25826
2022-11-03,70,2.14357
2022-11-03,80,2.15125
2022-11-03,90,1.94709
2022-11-03,100,2.38068
2022-11-03,110,2.19430
2022-11-03,120,2.06211
2022-11-03,130,2.12114
2022-11-03,140,2.23946
2022-11-03,150,2.26079
2022-11-03,160,2.16232
2022-11-03,170,2.00678
2022-11-03,180,1.82059
2022-11-03,190,2.04009
2022-11-03,200,2.15867
2022-11-03,210,2.08647
2022-11-03,220,1.94960
2022-11-03,230,2.21428
2022-11-03,240,2.18343
2022-11-03,250,2.09738
2022-11-03,260,1.82847
2022-11-03,270,2.02799
2022-11-03,280,2.15487
2022-11-03,290,2.21703
2022-11-03,300,2.02413
2022-11-03,310,2.13257
2022-11-03,320,1.98675
2022-11-03,330,2.04368
2022-11-03,340,2.21096
2022-11-03,350,1.93674
2022-11-03,360,2.06913
2022-11-03,370,2.01982
2022-11-03,380,1.90853
2022-11-03,390,2.03752
2022-11-03,400,2.06028
2022-11-03,410,1.97578
2022-11-03,420,1.92569
2022-11-03,429,1.85505
2022-11-03,439,3.37954
2022-11-03,449,2.74953
2022-11-03,459,2.21710
2022-11-03,469,2.11760
2022-11-03,479,2.08292
2022-11-03,489,2.17394
2022-11-03,499,2.09085
2022-11-03,509,1.93307
2022-11-03,519,2.20857
2022-11-03,529,2.04397
2022-11-03,539,1.67156
2022-11-03,549,1.92984
2022-11-03,559,2.01431
2022-11-03,569,1.85138
2022-11-03,579,2.05421
2022-11-03,589,2.11548
2022-11-03,599,1.97684
2022-11-03,609,1.97671
2022-11-03,619,1.96860
2022-11-03,629,1.94467
2022-11-03,639,2.02151
2022-11-03,649,1.88492
2022-11-03,659,1.77983
2022-11-03,669,2.14151
2022-11-03,679,1.94200
2022-11-03,689,1.97325
2022-11-03,699,1.94013
2022-11-03,709,1.88115
2022-11-03,719,1.97582
2022-11-03,729,1.74870
2022-11-03,739,1.80795
2022-11-03,749,1.85320
2022-11-03,759,1.92617
2022-11-03,769,1.81990
2022-11-03,779,1.84094
2022-11-03,789,1.82016
2022-11-03,799,1.87839
2022-11-03,809,1.95761
2022-11-03,819,1.83619
2022-11-03,829,2.03798
2022-11-03,839,1.78333
2022-11-03,849,1.78934
