time,step,train_loss,valid_loss
2022-11-03,0,2.09330,1.87914
2022-11-03,1,2.06586,1.89147
2022-11-03,2,2.02092,1.84571
2022-11-03,3,1.80195,1.67112
2022-11-03,4,1.75913,1.62731
2022-11-03,5,1.74786,1.56872
2022-11-03,6,1.64609,1.56780
2022-11-03,7,1.70375,1.57288
2022-11-03,8,1.62647,1.49135
2022-11-03,9,1.57865,1.45938
2022-11-03,10,1.55288,1.44910
2022-11-03,11,1.53614,1.41895
2022-11-03,12,1.53893,1.39453
2022-11-03,13,1.46746,1.35894
2022-11-03,14,1.47232,1.34794
2022-11-03,15,1.45973,1.33789
2022-11-03,16,1.44299,1.30023
2022-11-03,17,1.41508,1.30965
2022-11-03,18,1.44048,1.27593
2022-11-03,19,1.38790,1.25216
