time,step,train_loss,valid_loss
2022-11-03,0,2.07867,2.03914
2022-11-03,1,2.02696,1.81680
2022-11-03,2,1.90361,1.73353
2022-11-03,3,1.91841,1.68399
2022-11-03,4,1.79119,1.69267
2022-11-03,5,1.78675,1.63840
2022-11-03,6,1.79420,1.59813
2022-11-03,7,1.66622,1.50656
2022-11-03,8,1.55866,1.47376
2022-11-03,9,1.53455,1.43170
2022-11-03,10,1.53974,1.43486
2022-11-03,11,1.53310,1.40214
2022-11-03,12,1.49588,1.36589
2022-11-03,13,1.49629,1.35181
2022-11-03,14,1.44354,1.40636
2022-11-03,15,1.49225,1.30120
2022-11-03,16,1.42348,1.29397
2022-11-03,17,1.39581,1.26324
2022-11-03,18,1.38536,1.25431
2022-11-03,19,1.35943,1.23363
